avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctMarriedHouseholds,BirthRate
139,60,226.9,513.2,34295,21415,24.4,46.69624095,"(34218.1, 37413.8]",41.9,41.4,42.8,"Lincoln County, West Virginia",2.69,50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,52.9271954,2.635983264
245,113,240.1,523.9,36437,34707,20.2,28.81263146,"(34218.1, 37413.8]",42.6,41.5,44.1,"Logan County, West Virginia",2.5,53.1,15,45.9,,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,52.33924375,4.195713917
137,70,234.8,457.1,24707,19835,34.9,0,"[22640, 34218.1]",44.1,41.5,46.5,"McDowell County, West Virginia",2.39,46,32.3,51.6,,3.1,43.9,3.2,27,13.3,39.7,24.3,23.4,58.5,37.7,44.26650367,3.860072376
373,144,188.8,510.9,43729,56925,17.9,0,"(42724.4, 45201]",41.1,39.7,42.7,"Marion County, West Virginia",2.47,51,11.2,34.4,,5.4,40.9,14.5,,4.9,67.6,,48.5,35.7,18.3,49.46399182,5.113459745
208,87,184.6,456.3,43356,31978,15.2,0,"(42724.4, 45201]",44.3,42.9,46.5,"Marshall County, West Virginia",2.36,57.7,8.5,45.9,,9.2,45.1,11.4,50.9,7,70.3,50.4,47.8,37.5,17,55.3172673,3.174132305
168,78,209.5,463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43,42.3,44.1,"Mason County, West Virginia",2.44,51.6,23.1,42.5,,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39,47.6,26.6,50.71046319,3.66910141
418,184,210,493.8,35046,61164,20.5,81.74743313,"(34218.1, 37413.8]",42.3,40.6,43.7,"Mercer County, West Virginia",2.39,50.6,14,37.3,,6.1,37.9,12.5,46.6,5.1,56.4,,35.9,48.2,27.1,48.3713803,4.807972069
170,76,198.4,456.6,40012,27451,16.1,0,"(37413.8, 40362.7]",43.2,42.1,44.4,"Mineral County, West Virginia",2.4,44.2,9.5,48.4,37.3,4.8,50.2,8.5,47,8.8,58.6,45.1,41.6,39.4,23.3,42.97381269,7.391231312
163,76,240.8,507,29839,25292,28.1,0,"[22640, 34218.1]",41.7,40.4,42.7,"Mingo County, West Virginia",2.38,55.6,17.2,47.3,,0.6,41,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,52.14865363,2.796024928
382,132,155.9,444.5,43835,104236,22.5,95.9361449,"(42724.4, 45201]",30,28.5,31.3,"Monongalia County, West Virginia",2.56,37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,40.42122317,4.001671717
86,39,190.7,434.6,36351,13506,19.3,0,"(34218.1, 37413.8]",46.6,45.4,48.3,"Monroe County, West Virginia",2.3,56.8,10.6,42,47,0.3,49.4,8.7,48,7.3,60.5,40.4,36.6,45.2,23.7,53.16042597,6.07651913
105,52,209.7,425.4,44446,17524,13,0,"(42724.4, 45201]",46.1,45.8,46.6,"Morgan County, West Virginia",2.36,47.7,13.3,53.1,,7.6,41.2,11.1,49.3,12.3,63.7,,38.4,38.4,17.3,45.14153511,4.090035685
160,72,199.8,455.5,36375,25594,19.6,0,"(34218.1, 37413.8]",43.4,42.3,44.7,"Nicholas County, West Virginia",2.39,57.9,14.7,44.2,,1.3,48,8.2,46.5,8.4,61.6,,42.2,44.1,23.5,55.74302401,3.346456693
308,123,184.4,500.9,40195,43066,18.4,301.8622579,"(37413.8, 40362.7]",43.3,41.3,45.1,"Ohio County, West Virginia",2.24,45.2,8.9,26.7,,8.1,34.5,18.7,56,5.5,70.9,,47.9,36.2,16.8,42.92698827,3.257226644
45,19,139.8,381.8,38204,7229,16.7,0,"(37413.8, 40362.7]",49.1,47.4,50.3,"Pendleton County, West Virginia",2.35,55.3,25.9,41.3,,3.6,46,7.3,45.4,4.9,59.8,41,31,45.3,24.1,54.86268174,7.611940299
45,21,213.3,458.9,44801,7674,16.5,0,"(42724.4, 45201]",43.6,42,45.6,"Pleasants County, West Virginia",2.43,55,9,47.1,,4.3,50.1,7.3,45.6,8.2,71.6,53.8,51.8,36.8,17.7,56.79225717,2.966381015
50,23,176.8,384.8,34341,8607,17.6,0,"(34218.1, 37413.8]",48.4,47.9,49,"Pocahontas County, West Virginia",2.24,56.4,10,54.9,27.1,8,47.4,10,50.7,5.7,60,40,37.8,44.9,23,53.27803051,4.256631709
183,73,169.8,435.3,41420,33940,17.6,0,"(40362.7, 42724.4]",42.3,40.4,43.5,"Preston County, West Virginia",2.52,53.3,18,44.6,31.4,5.9,46.4,9,49.5,7,63.5,46.8,43.8,39.3,21.1,56.80724824,4.038301415
328,114,171.5,497.2,59472,56848,10,211.0892204,"(54545.6, 61494.5]",41,40.4,41.6,"Putnam County, West Virginia",2.6,57.4,7.7,43.6,43,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,58.72299258,6.034482759
482,206,198.2,469.6,40270,77510,17.7,12.90156109,"(37413.8, 40362.7]",41.6,40,43.4,"Raleigh County, West Virginia",2.4,51.3,11.9,41.1,,8.3,39.5,12,45.5,6.6,60.6,36.8,33.6,44.6,24,49.67065294,3.77850558
161,68,168.6,405.2,37468,29126,20.8,0,"(37413.8, 40362.7]",43.2,41.7,45.1,"Randolph County, West Virginia",2.35,52.2,24.3,35.7,,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,51.97613076,4.231027535
72,32,214.7,502,46383,9982,17.7,0,"(45201, 48021.6]",45.2,45.1,45.3,"Ritchie County, West Virginia",2.56,49.5,23.1,38,,0.3,47.9,6.3,44.8,10.6,57.4,38.9,37,46.9,24.3,49.74632166,6.267539757
89,41,204,449.2,33041,14435,23.1,0,"[22640, 34218.1]",44.2,43.2,45,"Roane County, West Virginia",2.48,53.9,26,45.8,,10,46.5,8.2,41.3,8.9,51.6,36,32.9,51.8,32.6,52.19686649,2.353331124
76,36,170.4,377.1,32456,13239,25.8,0,"[22640, 34218.1]",46.3,46.9,46,"Summers County, West Virginia",2.22,53.5,20,46.2,,8.4,40.5,7.6,42.2,10,60.2,38.7,35.2,49.6,24.7,50.44770774,3.812668868
87,39,172.2,400.9,40305,16912,16.8,0,"(37413.8, 40362.7]",43,41.6,44.5,"Taylor County, West Virginia",2.45,52.3,9.2,44.6,,5,43.6,11.7,48.9,9.5,63.7,45.9,43.9,42.6,20.6,52.0647653,6.801152738
56,19,168.1,528.4,36466,6966,17.1,0,"(34218.1, 37413.8]",47.7,47,48.4,"Tucker County, West Virginia",2.26,60.5,7,50.6,,0,52.7,7.1,51.7,7.6,68,,46.1,39.3,17.9,56.87707641,3.868613139
61,27,199.1,468.3,41019,8975,15.8,0,"(40362.7, 42724.4]",46.2,45.6,46.9,"Tyler County, West Virginia",2.48,53.5,19,44.1,,6.3,49.2,7.2,44.1,10.9,62.3,41.7,38.9,43,19.8,52.40597345,1.988950276
142,60,189.5,453.7,38387,24758,19.7,0,"(37413.8, 40362.7]",41.8,41.2,42.5,"Upshur County, West Virginia",2.57,51.5,9.1,39.1,,6.1,48.4,9.3,48.2,8,59.7,45,41.3,40.2,23.3,53.55768173,5.300938708
236,102,183.8,433.2,37242,40971,20,24.40750775,"(34218.1, 37413.8]",42.5,41.3,43.5,"Wayne County, West Virginia",2.47,48.9,13.4,43.3,,3.2,40.9,7.5,43.3,9.9,54.6,39.7,37,45.6,27.1,47.52860823,4.112005292
65,33,259.5,511.9,29331,8755,26.1,114.2204455,"[22640, 34218.1]",46.3,45.5,46.6,"Webster County, West Virginia",2.28,54.1,10.4,54.6,32.3,2.8,43,5.3,40.2,14.8,45.1,31.2,28.2,53.3,35.4,48.72652431,4.203539823
120,50,202.6,514.6,40013,15816,18.5,0,"(37413.8, 40362.7]",46,44.6,47.2,"Wetzel County, West Virginia",2.46,51.4,19.8,52.5,,3.2,48.7,6,41.7,8.1,63.5,42.7,39.7,44.6,21.3,51.70881226,6.161137441
35,14,185.8,455.3,38600,5880,20.3,0,"(37413.8, 40362.7]",45,45.4,44,"Wirt County, West Virginia",2.4,52.2,21.1,31.6,,2.3,47.6,7.8,47.9,8.4,61.6,46.7,44,41.4,23.5,51.76954733,5.968928863
554,217,185.5,488.8,41932,86452,17.2,173.5066858,"(40362.7, 42724.4]",42.5,41.1,44,"Wood County, West Virginia",2.37,51.1,15.8,36.5,,4.2,38.1,12.2,52.4,8.6,63,,42.2,42,22.7,47.88351017,6.23870268
134,69,235.4,447.8,34419,22151,22.8,0,"(34218.1, 37413.8]",42.8,41.5,44.2,"Wyoming County, West Virginia",2.48,55.7,23.3,33.7,,3.6,46,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,54.03848244,6.018614271
164,73,206,467.9,42063,20148,17.8,0,"(40362.7, 42724.4]",51.4,49.7,53.3,"Adams County, Wisconsin",2.47,50.9,21.5,44.6,,3.3,43.7,8.5,42.2,10.1,63.9,38.9,34.1,50.8,22.6,54.12278449,3.861129137
90,45,217.5,451.5,41294,15843,14.9,0,"(40362.7, 42724.4]",42.2,40.8,42.8,"Ashland County, Wisconsin",2.29,45.9,8.9,31.3,,6,35,14.6,58.2,7.9,62.7,46.2,39.4,42.5,23.9,42.79547484,6.460336538
254,112,168.4,412.1,46375,45563,13.7,1097.381647,"(45201, 48021.6]",43.9,42,45.6,"Barron County, Wisconsin",2.35,55.8,15.6,44.4,,3.3,39.8,10.6,60,6,68.4,50.9,43.2,39.2,19,52.64644351,5.884312202
88,42,171.7,369.9,44395,14977,13.6,0,"(42724.4, 45201]",50.8,50.5,51.1,"Bayfield County, Wisconsin",2.16,58.5,14.2,28.8,,4.5,30.2,18.9,54.1,7.2,65.9,,37.2,44.1,21,52.79664691,5.547054323
1214,406,158.6,479.1,54141,258718,12,1213.676667,"(51046.4, 54545.6]",36.8,35.7,37.9,"Brown County, Wisconsin",2.46,51.4,16.8,28.7,,9,31.3,20,65.4,6.1,72.5,60,54.6,30,17.2,49.80425278,5.921762149
71,33,166.4,385.7,50998,13192,10.5,151.6070346,"(48021.6, 51046.4]",45,45.1,44.9,"Buffalo County, Wisconsin",2.29,59,14.5,39,,5.5,42.5,12.4,64.7,3.7,73.4,56.7,49.3,34.5,16,54.08074857,7.17472119
103,50,190.1,399.2,41810,15159,16.5,0,"(40362.7, 42724.4]",50.9,50.6,51.4,"Burnett County, Wisconsin",2.08,59,14.7,34.9,,6.8,40,11.9,50.3,7.5,64.2,,34.3,48.2,23.7,51.08041575,4.96054115
238,79,157.9,474.1,68430,49762,5.9,0,"(61494.5, 125635]",39,38.4,39.8,"Calumet County, Wisconsin",2.66,62,14.6,27.9,,11.9,33.8,20.6,69.4,3.1,84.1,72.2,66.3,22.4,10.6,62.98229565,4.330985915
356,123,160.1,482.4,52485,63531,10.7,487.9507642,"(51046.4, 54545.6]",40.6,39.1,42,"Chippewa County, Wisconsin",2.44,55.6,14.2,36.1,42.6,7,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,55.24062236,5.497771174
184,70,157.6,455.2,45316,34445,16,0,"(45201, 48021.6]",37.1,36.4,38.4,"Clark County, Wisconsin",2.65,58.2,37.3,35.4,,2.7,43.3,8.4,61.2,4.8,56.6,41.9,34.1,34,17.6,57.41970774,9.86429301
323,123,176.6,476.1,59020,56743,8.8,0,"(54545.6, 61494.5]",42,41.3,42.7,"Columbia County, Wisconsin",2.44,54.9,18.5,39.2,,8.1,34.9,15.8,65,5.8,78.2,61.6,55.8,29.4,12.9,54.30466505,4.654466449
109,43,176.4,466.4,43562,16391,14.7,122.0181807,"(42724.4, 45201]",45.9,44.2,47.1,"Crawford County, Wisconsin",2.38,52.3,8.9,48.5,,4.9,42.7,10.1,55.6,6.5,67.4,49,43.9,41,20.3,51.27585686,5.300353357
2015,707,153.8,430.7,61937,523643,13.4,129.8594653,"(61494.5, 125635]",34.6,33.7,35.6,"Dane County, Wisconsin",2.35,47.5,6.3,21.9,,21.4,19,28.3,69.5,4.9,82.5,,62.8,22.6,10.2,45.26843317,4.458527742
463,201,178.9,437.3,54359,88502,9.9,0,"(51046.4, 54545.6]",42,40.4,43.7,"Dodge County, Wisconsin",2.51,51.1,15,45.6,,6.2,40.2,11.5,60.1,6,77.7,57.6,51.7,30.3,13.9,53.53820299,4.49736915
208,77,158.7,449.3,49717,27554,11,1778.326196,"(48021.6, 51046.4]",51.7,50.2,53.2,"Door County, Wisconsin",2.11,62.6,20.8,31,,11.1,32.9,19.7,55.6,6.2,75.8,,42.4,39.5,15.5,56.50832819,4.481380181
187,104,192.8,354.7,46475,43601,13.9,0,"(45201, 48021.6]",40.6,39.8,41.3,"Douglas County, Wisconsin",2.28,47.6,10.9,26.9,54.7,7.5,33.2,15.4,59.9,7,66.5,51.4,47.1,37.9,20.6,44.24412034,6.150455775
177,72,155.6,396.1,52224,44497,13.9,0,"(51046.4, 54545.6]",34.1,33.4,35,"Dunn County, Wisconsin",2.48,47.6,4.5,25.4,,5.5,34.6,16.2,62,6.1,72.4,57.5,50.2,32.3,16.8,51.38981814,5.116736739
454,177,163.4,440.9,48102,102105,14.4,675.7749376,"(48021.6, 51046.4]",33.8,33,34.7,"Eau Claire County, Wisconsin",2.43,46.4,6.9,26.6,,8.3,26.9,19.9,65.3,5.8,74.8,60.1,54.2,29.4,14.6,46.89544532,4.346348463
23,13,171.9,308.2,44562,4464,12.8,0,"(42724.4, 45201]",51.1,50.8,51.3,"Florence County, Wisconsin",2.32,59.9,23.9,15.7,,0,39.2,12,51.1,7.2,68.9,48.1,38.9,41.8,17.6,57.93067227,3.462050599
579,206,159.4,477,52149,101973,9.9,235.3564179,"(51046.4, 54545.6]",41,40.1,41.8,"Fond du Lac County, Wisconsin",2.4,54.8,10.6,33.8,,6.2,38.5,14.8,64.6,5.3,77.1,60.3,54.8,30.6,14.4,53.51968638,4.541733098
68,25,166.4,490.6,41418,9057,17,4306.06161,"(40362.7, 42724.4]",45.3,44.4,46.4,"Forest County, Wisconsin",2.33,52.8,18.9,42.2,,4.4,40.7,8.8,47.6,10.1,59.8,40.1,35.1,43.9,20.4,51.39107612,7.250418293
257,108,166.9,428.2,46972,52250,15,0,"(45201, 48021.6]",36.1,33.2,39.7,"Grant County, Wisconsin",2.44,48.6,8.4,23.8,63,4.7,38.7,13.1,62.2,4.6,74.8,58.4,50.5,30.4,13.9,51.66349565,5.174434328
187,74,158.4,420,53328,37186,8.7,0,"(51046.4, 54545.6]",42.2,41.3,43.2,"Green County, Wisconsin",2.47,56.7,10.5,40.9,36.1,12.4,39,14.8,67.6,3.5,78.2,,53.9,30.2,13.8,55.2736352,5.46031746
89,32,152.3,447.2,61802,17110,8.2,0,"(61494.5, 125635]",458.4,36.3,40.7,"Seward County, Nebraska",2.46,58.1,4.3,22.7,,6.2,29.5,18,63.4,3.5,83.4,67.6,55,24.3,9,60.49149338,9.675645959
29,15,169.9,356.1,40351,5220,16,191.5708812,"(37413.8, 40362.7]",46.1,45.2,47.8,"Sheridan County, Nebraska",2.29,56.5,30.1,26.2,,5.4,31.1,17.2,61.2,1.4,64.9,,28.1,38.3,17.8,52.45683931,5.360824742
20,10,187.4,400.6,43883,3091,12.1,0,"(42724.4, 45201]",49.5,47.7,50.5,"Sherman County, Nebraska",2.21,61,11.9,14.8,59.1,14.2,42.3,10,62.2,3.1,75.6,55.9,44.3,35.3,14.8,53.95787945,7.992565056
16,10,138.2,221.5,55955,5937,9.2,0,"(54545.6, 61494.5]",38.8,36.8,41.4,"Stanton County, Nebraska",2.61,62.7,12.4,29.1,,5.3,35,14.2,68.3,2.6,76.1,60.8,48.8,28,12.4,61.73052088,5.678233438
